concept,cat_syndrome,cat_pathogen,cat_drug,exp_time_of_year,exp_drug,exp_abx,exp_XRT,exp_food,exp_travel,exp_environment,exp_workplace_exposures,exp_close_contact,exp_sexual,exp_animals,exp_bites,exp_insects,exp_sick_contacts,hx_age,hx_allergy,hx_vaccination,hx_pathogens,hx_infection,hx_comorbidities,hx_immunocompromise,hx_surgery,hx_prosthetics_hardware,comments
serratia,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,
morganella,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
klebsiella_pneumoniae,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
enterobacter_cloacae,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
pseudomonas_aeruginosa,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
stenotrophomonas,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
burkholderia_pseudomallei,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,
burkholderia_other,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
acinetobacter,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
salmonella_typhi,,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
salmonalla_non_typhi,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,
haemophilus_influenzae,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,
haemophilus_ducreyi,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
brucella,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,
pasteurella,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,
yersinia,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,
bordetella,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,
legionella,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,
capnocytophaga,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,
bartonella_henselae,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,
bartonella_quintana,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,
treponema_pallidum,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,
leptospira,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
borellia_recurrentis,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
borrelia_burgdorferei,,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,
clostridioides_difficile,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,
clostridium_tetani,,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
clostridium_botulinum,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,
clostridium_perfringens,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,
fusobacterium,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
mycobacterium_tuberculosis,,1.0,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,
mycobacterium_leprae,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
mycobacterium_avium_complex,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,
mycobacterium_marinum,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,
mycobaterium_kansasii,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,
